ID,partial_observability,patchnum,action_portfolio,survey_is_action,dispersal_regime,terminal_penalty,dispersal_type,dispersal_ID,paramsetID,kR,kS,dim2state,dim2state_with_C,note
0,0,4,0,0,1,1,uniform,0,1,1,4,0,0,default
1,0,4,0,0,1,0,uniform,0,1,1,4,0,0,no terminal penalty
2,0,5,0,0,1,0,uniform,0,1,1,4,0,0,n=5
3,0,4,0,0,1,0,uniform,0,1,2,4,0,0,testing PPO with higher k
4,0,4,0,0,1,0,uniform,0,1,1,4,1,1,1 with 2D state version
5,0,4,0,0,0,0,uniform,0,1,1,4,0,0,n=4 MDP scaling up from here
6,0,4,0,0,0,0,uniform,0,1,1,8,1,1,n=4 MDP 2D
7,0,5,0,0,0,0,uniform,74,4,1,5,1,1,"n=5 MDP 2D high cost high extinction, median centrality"
8,0,5,0,0,0,0,uniform,74,5,1,5,1,1,n=5 MDP 2D low cost low extinction
9,0,8,0,0,0,0,uniform,0,1,1,8,0,0,n=8 MDP
10,0,8,0,0,0,0,uniform,0,1,1,8,1,1,n=8 MDP 2D
11,0,10,0,0,0,0,uniform,6,6,2,10,1,1,"n=10 MDP 2D high cost high extinction scenario, median centrality"
12,0,15,0,0,0,0,uniform,0,7,3,15,1,1,n=15 MDP 2D high cost high extinction scenario
13,0,16,0,0,0,0,uniform,0,1,1,16,1,1,n=16 MDP 2D
14,0,20,0,0,0,0,uniform,40,8,4,20,1,1,"n=20 MDP 2D high cost high extinction scenario, median centrality"
15,0,20,0,0,0,0,uniform,99,8,4,20,1,1,"n=20 MDP 2D high cost high extinction scenario, low centrality"
16,0,20,0,0,0,0,uniform,85,8,4,20,1,1,"n=20 MDP 2D high cost high extinction scenario, high centrality"
17,0,5,0,0,0,0,uniform,74,4,1,5,0,0,"n=5 MDP 2D high cost high extinction, median centrality (non 2D state, for VI)"
18,0,5,0,0,0,0,uniform,74,9,1,5,1,1,"n=5 MDP 2D really high cost high extinction, median centrality 1st one"
19,0,5,0,0,0,0,uniform,74,9,1,5,0,0,"n=5 MDP 2D really high cost high extinction, median centrality"
20,0,10,0,0,0,0,uniform,6,10,2,10,1,1,"n=10 MDP 2D really high cost high extinction, median centrality 1st one"
21,0,20,0,0,0,0,uniform,0,11,4,20,1,1,"n=20 MDP 2D really high cost high extinction, median centrality 1st one"
22,0,10,0,0,0,0,uniform,95,10,2,10,1,1,"n=10 MDP 2D really high cost high extinction, low centrality 1st one"
23,0,10,0,0,0,0,uniform,25,10,2,10,1,1,"n=10 MDP 2D really high cost high extinction, high centrality 1st one"
24,0,5,0,0,0,0,uniform,7,9,1,5,1,1,"n=5 MDP 2D really high cost high extinction, median centrality 2nd one"
25,0,5,0,0,0,0,uniform,82,9,1,5,1,1,"n=5 MDP 2D really high cost high extinction, median centrality 3rd one"
26,0,10,0,0,0,0,uniform,57,10,2,10,1,1,"n=10 MDP 2D really high cost high extinction, median centrality 2nd one"
27,0,10,0,0,0,0,uniform,87,10,2,10,1,1,"n=10 MDP 2D really high cost high extinction, median centrality 3rd one"
28,0,20,0,0,0,0,uniform,15,11,4,20,1,1,"n=20 MDP 2D really high cost high extinction, median centrality 2nd one"
29,0,20,0,0,0,0,uniform,19,11,4,20,1,1,"n=20 MDP 2D really high cost high extinction, median centrality 3rd one"
30,0,10,0,0,0,0,uniform,19,10,2,10,1,1,"n=10 MDP 2D really high cost high extinction, low centrality 2nd one"
31,0,10,0,0,0,0,uniform,5,10,2,10,1,1,"n=10 MDP 2D really high cost high extinction, low centrality 3rd one"
32,0,10,0,0,0,0,uniform,31,10,2,10,1,1,"n=10 MDP 2D really high cost high extinction, high centrality 2nd one"
33,0,10,0,0,0,0,uniform,17,10,2,10,1,1,"n=10 MDP 2D really high cost high extinction, high centrality 3rd one"
